"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
"83",5,4,1,2,2,8,5,1,8,1,3,5,2,9,1,2,26,4,3,2,2,3,2,1,17,1,2,3,3,0,6,3,3,6,1,2,1,5,3,4,7,1,0,3,1,4,7,2,3,2,1,3,7,1,3,2,5,3,3,11,9,3,5,5,5,2,3,1,5,1,6,8,7,3,5,4,3,2,2,4,2,14,5,1,7,5,0,5,14,8,4,5,10,2,2,2,4,3,1,1,2,7,7,4,3,0,7,5,2,5,6,3,7,4,2,2,6,10,5,2,1,2,6,10,4,0,2,1,13,3,2,4,5,4,4,2,4,5,1,3,7,0,6,5,3,1,1,3,1,2,1,4,15,2,3,0,4,6,1,6,3,8,0,11,2,1,7,1,7,4,5,0,0,2,3,4,6,2,2,2,3,5,0,2,4,7,3,0,1,5,0,10,3,1,3,2,3,2,3,2,3,2,2,10,3,3,0,4,4,2,5,14,2,7,3,2,3,7,0,2,6,1,9,4,3,6,9,5,4,1,10,0,3,0,4,9,7,4,1,2,5,2,1,3,3,5,6,2,1,3,1,2,3,3,7,0,11,3,4,1,1,0,3,4,1,2,5,7,3,3,5,4,10,1,8,6,7,1,20,0,3,5,7,2,5,0,4,1,7,3,0,4,5,0,4,12,2,4,13,1,1,1,2,3,2,7,2,12,5,2,3,7,2,1,6,2,2,1,7,0,2,1,2,2,0,4,9,6,1,6,11,5,5,7,2,0,5,0,1,7,1,5,3,5,3,2,3,1,4,4,8,4,8,1,2,10,5,5,3,3,1,7,2,6,3,2,1,3,4,3,3,4,0,6,3,8,7,2,20,3,2,7,1,3,4,3,8,6,1,2,0,3,3,3,0,4,2,6,4,0,1,4,3,9,3,0,4,11,0,2,0,2,1,3,3,2,0,2,3,0,3,0,1,3,3,9,4,6,2,5,2,0,6,4,2,5,6,0,2,5,1,4,1,7,9,3,8,3,4,1,1,0,3,8,2,1,0,3,1,1,3,1,2,0,4,2,0,9,1,1,0,4,4,4,2,0,0,5,9,0,0,9,1,1,15,7,9,1,2,8,8,3,2,0,2,5,3,5,3,4
"84",2,4,0,1,1,8,6,2,4,0,5,2,2,2,1,0,15,7,4,6,1,2,3,3,11,0,7,2,2,0,7,4,1,1,0,1,3,8,2,4,4,0,2,4,1,5,2,4,4,3,1,8,1,1,2,5,3,0,1,6,4,5,5,1,2,3,3,0,5,2,4,9,5,1,6,4,1,2,3,2,2,3,2,1,9,1,1,6,3,7,4,3,8,2,3,2,7,1,2,2,0,7,8,3,4,4,3,4,2,1,4,0,9,6,2,4,2,13,7,3,1,6,1,5,3,2,2,3,10,0,4,3,6,6,3,2,1,3,5,1,2,2,2,5,3,1,1,3,1,0,6,2,7,1,9,2,4,6,2,5,1,7,2,3,2,2,4,4,5,4,3,2,2,3,1,3,8,3,4,1,5,3,0,1,4,7,0,1,1,2,5,12,2,2,5,3,1,2,1,3,2,5,3,13,1,3,1,4,4,3,3,9,3,7,1,5,1,3,1,4,2,2,4,1,4,7,8,7,8,6,10,0,4,1,5,4,6,4,2,5,4,2,5,1,0,2,4,1,3,7,6,1,1,4,5,0,7,5,3,3,1,1,4,0,3,2,7,1,5,3,3,2,6,4,2,8,6,1,12,1,3,3,3,2,8,0,4,1,7,2,1,6,6,2,5,5,3,2,11,2,0,2,5,5,1,0,2,6,1,2,0,7,4,1,2,2,2,2,5,0,0,1,2,3,0,1,8,1,1,5,10,3,4,8,2,2,5,1,0,8,4,1,6,3,2,1,2,2,2,3,10,2,0,1,5,8,4,4,1,3,2,7,3,11,2,1,1,5,1,4,4,3,1,1,2,7,5,5,9,1,5,7,3,0,2,5,7,3,2,5,3,1,2,2,1,6,3,4,8,2,3,0,6,1,4,2,2,4,1,4,0,1,0,2,6,3,2,3,3,2,4,1,2,3,3,8,1,4,3,2,3,2,5,5,3,2,4,4,2,3,1,8,8,4,11,9,4,1,1,2,1,3,3,6,3,3,2,4,3,1,3,1,4,1,4,2,0,10,1,3,3,5,0,2,5,0,0,3,10,0,1,3,1,3,10,4,10,1,2,5,7,3,3,2,3,1,1,6,4,6
"85",1,0,2,10,4,24,13,3,20,1,4,3,5,19,14,0,39,3,5,3,2,1,7,2,44,0,17,2,1,0,13,5,0,0,2,3,10,16,6,10,3,7,0,1,4,6,12,17,18,1,3,11,1,5,1,2,7,2,3,22,15,21,16,7,5,6,2,0,3,0,22,38,24,1,3,19,2,1,19,1,4,28,4,0,31,3,6,22,25,35,12,10,36,26,2,2,5,2,3,5,0,1,8,5,3,3,1,2,15,13,26,1,8,8,4,3,17,47,12,1,2,7,14,19,4,2,6,1,17,2,2,2,22,5,1,6,4,0,2,1,7,4,16,14,0,2,4,2,3,2,9,1,14,2,17,1,10,10,3,6,1,31,0,35,2,1,2,2,3,1,5,2,0,1,2,1,11,2,2,2,1,8,1,14,10,10,1,6,1,2,3,58,1,2,13,5,3,2,1,0,11,3,1,50,0,14,1,1,20,2,4,33,3,3,2,9,2,32,0,2,2,1,24,3,5,2,6,35,15,3,39,0,4,5,4,7,19,6,23,4,3,2,20,1,1,4,26,3,8,2,4,7,2,8,17,0,26,0,1,3,0,0,4,13,0,2,17,2,2,4,7,1,24,0,22,31,2,0,54,0,2,6,33,4,4,2,9,0,5,1,1,2,29,1,5,4,4,4,36,3,1,2,7,6,1,5,11,30,3,1,1,26,3,2,3,1,4,2,21,0,1,6,6,3,2,2,28,5,2,15,49,8,1,4,1,2,3,1,2,20,1,9,28,5,5,2,2,0,1,9,30,5,1,3,3,38,1,8,3,8,4,11,4,35,8,1,3,3,2,1,2,8,0,2,0,17,23,4,71,8,0,26,1,2,1,5,9,4,4,4,3,3,5,8,0,11,1,11,3,2,5,2,2,2,2,2,4,25,3,9,1,2,1,4,4,2,3,12,1,1,6,2,6,3,3,44,10,21,1,2,2,3,31,15,3,2,8,4,2,3,0,1,14,23,35,11,2,1,1,1,4,6,6,20,5,1,2,4,3,2,1,1,3,1,3,5,1,44,5,2,2,6,2,4,4,0,0,4,40,2,0,25,4,0,42,20,27,2,4,13,26,3,6,11,4,1,3,33,7,5
"86",2,2,2,3,4,6,0,0,4,2,3,1,3,7,3,1,10,4,4,2,0,2,5,2,10,2,5,2,1,3,3,2,2,8,1,1,0,4,6,2,0,2,1,2,2,7,5,2,6,2,2,7,3,4,1,1,4,2,1,11,3,6,3,0,2,6,1,4,2,2,6,8,10,4,3,5,6,3,3,2,2,5,2,3,8,3,0,5,1,7,7,5,4,5,2,3,3,6,0,6,1,2,4,6,2,4,4,9,3,3,11,3,3,3,5,3,3,19,9,1,3,9,6,6,2,2,3,4,12,2,2,4,6,1,8,2,2,6,3,2,4,2,8,6,4,1,0,3,3,2,3,1,7,3,11,1,1,7,3,4,2,12,2,13,2,0,5,2,3,5,2,0,3,3,1,3,8,2,1,0,3,3,0,3,1,5,3,3,5,6,2,12,1,0,2,1,3,3,1,2,4,1,1,11,2,3,0,2,4,2,8,16,3,0,1,3,4,7,1,2,2,1,11,7,4,4,3,10,1,4,10,1,0,4,6,2,4,3,5,5,3,2,6,2,0,5,7,3,4,4,2,3,7,4,4,1,5,1,1,4,3,1,4,6,1,0,9,4,0,3,5,2,11,0,12,9,8,0,11,0,2,7,6,1,2,0,7,0,7,0,3,6,9,1,8,4,5,6,6,2,2,0,3,3,2,0,1,8,4,3,1,5,2,2,3,4,1,3,7,0,1,3,3,3,2,1,5,2,1,7,10,3,5,9,3,3,4,3,1,12,8,3,4,2,2,0,3,0,3,3,12,4,2,0,4,12,1,1,3,1,0,7,2,8,2,1,2,3,0,3,8,2,2,2,1,5,8,8,14,3,3,5,4,3,1,7,3,5,3,4,4,2,1,0,1,10,3,6,0,0,1,3,3,2,2,5,2,9,0,3,0,1,8,3,4,0,2,1,3,3,1,3,2,4,2,8,4,7,1,3,2,0,6,8,2,6,8,3,2,5,0,6,5,4,13,4,5,2,0,1,2,4,4,8,4,1,2,3,1,0,1,1,2,2,2,2,1,15,2,1,3,1,1,0,4,1,0,1,8,1,0,6,3,6,16,7,6,2,0,7,15,7,6,1,2,2,2,7,2,2
"87",2,4,3,3,5,5,4,1,5,1,5,3,0,4,3,0,8,4,0,6,3,5,2,3,5,0,2,2,1,1,2,4,0,1,0,1,3,4,1,4,4,0,1,6,3,5,3,5,3,1,3,2,6,0,0,3,4,3,2,7,7,2,6,10,2,3,3,1,7,3,3,8,7,1,6,4,2,5,3,8,2,4,5,1,5,3,2,4,2,17,3,2,5,4,2,4,4,3,1,3,0,5,9,2,4,2,4,8,5,2,5,3,2,6,3,5,4,15,3,2,2,3,5,9,5,2,7,5,4,2,3,2,7,5,2,1,2,3,3,5,4,2,5,5,3,2,2,2,2,1,3,3,5,3,13,3,3,2,3,4,2,7,4,10,2,1,1,3,5,6,0,0,3,4,2,4,6,1,4,2,2,3,2,4,2,3,2,1,1,2,2,10,0,2,2,2,5,1,1,3,4,3,1,18,1,5,0,0,2,1,4,5,3,3,2,0,1,5,2,0,6,2,8,0,4,7,5,3,4,2,9,3,2,4,0,4,8,2,2,3,2,3,6,3,3,4,6,5,3,1,6,1,5,2,10,1,4,2,3,2,3,1,3,3,2,1,16,1,3,4,3,1,3,0,8,4,6,0,14,2,5,7,6,2,4,0,2,1,1,1,1,8,8,1,4,2,3,2,10,0,4,2,0,3,4,2,2,8,4,1,1,5,5,1,1,4,7,1,17,2,2,1,5,3,2,1,8,3,2,7,8,4,5,7,1,1,3,0,1,8,4,5,3,6,2,2,0,1,3,5,16,5,3,1,3,12,3,2,2,5,3,3,4,4,3,2,3,3,1,4,4,3,0,0,3,5,7,6,12,5,4,6,1,2,1,2,8,3,11,2,3,4,1,2,2,4,5,3,3,5,0,4,3,4,3,1,4,6,2,1,0,2,0,4,2,4,2,2,4,4,4,2,2,3,3,5,5,3,5,7,0,1,8,6,4,1,2,7,3,6,4,4,8,5,14,6,5,3,0,2,2,0,6,2,4,1,2,4,4,1,3,2,2,2,4,0,2,9,5,0,0,4,1,5,0,2,3,5,6,0,2,7,4,2,18,5,13,2,4,12,8,2,6,1,0,3,4,12,3,4
"88",2,5,1,5,4,8,4,3,7,2,6,3,2,3,3,2,13,5,2,5,2,3,2,2,12,1,4,1,2,0,3,6,2,2,1,1,2,7,2,7,0,4,2,1,1,2,4,2,10,1,2,5,2,5,1,4,3,4,3,8,6,12,7,1,7,4,1,1,4,1,4,7,5,2,2,3,3,1,2,5,3,6,2,0,11,1,2,1,8,8,3,5,5,2,2,5,4,4,2,2,0,4,3,1,2,2,2,5,4,9,10,3,6,4,0,8,4,17,6,0,3,5,4,5,4,1,5,2,4,1,2,5,12,3,2,2,2,2,5,2,1,1,6,3,5,3,0,1,1,2,1,6,7,5,5,2,4,4,1,1,2,13,1,8,1,1,2,2,3,3,2,2,1,3,1,4,5,4,2,1,4,6,4,5,1,1,0,0,1,2,3,10,2,4,3,4,3,4,1,2,1,4,2,10,2,2,1,2,3,1,6,8,2,4,5,3,2,11,1,1,2,1,3,4,4,5,3,11,5,7,12,2,1,1,2,10,3,7,7,6,3,5,7,1,1,1,5,3,8,2,5,4,2,2,9,0,8,3,4,4,1,1,3,4,3,1,10,2,2,1,6,5,4,2,9,6,2,2,11,1,4,3,8,3,4,0,1,1,6,2,2,7,2,0,2,4,0,4,4,2,4,0,3,1,5,2,1,7,0,1,0,10,4,2,2,5,2,2,10,2,2,2,3,3,1,1,11,3,2,7,10,4,6,6,3,2,2,4,4,5,3,3,12,0,1,1,3,1,4,3,5,5,2,2,3,6,3,1,2,6,3,6,5,9,2,1,4,1,2,4,0,4,3,5,2,11,5,6,17,3,4,5,0,1,0,2,3,7,3,2,5,4,1,1,1,4,5,6,4,1,0,1,2,3,1,2,4,13,1,4,1,1,5,2,3,0,3,5,2,2,1,2,2,1,8,7,4,5,1,5,2,1,11,6,6,4,4,3,3,2,2,3,9,6,11,3,9,0,2,1,2,2,4,7,3,2,5,3,1,2,2,1,3,0,7,1,4,13,3,1,2,8,3,5,4,2,2,4,15,1,0,2,3,7,13,4,6,2,3,11,7,2,2,2,1,2,2,3,8,2
"89",3,3,1,3,3,6,7,3,10,0,8,3,2,12,3,2,18,2,1,2,1,5,2,2,11,3,4,2,1,1,4,5,1,3,4,0,1,6,1,2,4,3,0,2,1,5,4,7,9,0,3,4,1,1,1,4,4,0,0,8,2,4,6,4,6,4,0,2,1,4,5,5,7,1,3,7,3,5,3,2,5,1,3,3,8,3,1,6,2,6,4,5,9,3,2,9,3,2,1,1,1,4,9,7,2,4,5,1,5,3,7,0,3,3,1,2,3,8,5,3,3,7,12,4,7,0,2,4,3,1,1,5,8,2,0,2,2,0,2,5,2,5,6,4,1,4,4,2,1,0,1,8,1,5,5,2,4,1,1,4,6,3,1,5,4,1,4,3,5,6,2,1,3,6,2,1,10,1,4,1,5,5,0,3,4,1,1,2,3,1,2,10,0,3,8,2,1,2,2,5,4,2,1,9,3,1,2,4,5,3,4,4,4,2,2,5,3,6,1,0,4,0,9,1,0,6,4,3,4,4,7,1,4,4,4,4,2,3,4,6,0,2,6,3,3,3,6,3,4,6,4,1,3,5,8,1,11,1,8,6,0,3,5,3,2,0,11,4,4,2,3,2,4,4,7,8,5,3,13,2,3,7,0,1,3,2,5,2,7,3,0,5,4,0,4,4,2,0,9,4,4,3,1,1,1,3,4,7,3,3,0,8,6,0,3,5,2,1,9,2,2,7,5,1,1,1,11,3,1,6,7,1,5,6,2,2,2,3,2,6,4,6,2,3,1,4,4,2,5,1,6,7,2,6,3,9,2,2,1,6,0,1,1,7,7,3,0,2,8,7,2,2,1,0,3,6,8,1,20,3,4,5,4,2,2,4,7,6,4,2,3,1,1,2,0,5,2,4,2,1,2,4,2,7,1,3,0,5,1,7,0,2,2,3,6,1,1,6,4,3,3,6,1,3,3,12,4,4,3,5,1,1,7,5,2,3,7,6,2,3,1,4,4,6,4,4,7,4,2,1,2,3,3,5,5,0,1,2,5,1,2,3,2,3,8,1,0,10,2,1,0,3,1,1,3,1,0,2,12,0,0,3,6,5,15,4,8,2,5,5,9,1,4,1,0,1,1,12,4,3
"90",3,7,0,2,3,6,4,1,1,1,6,1,5,5,2,3,9,3,2,2,3,5,2,3,7,4,9,3,0,2,6,3,3,3,1,1,1,6,3,3,1,0,1,3,3,3,4,10,4,0,0,4,2,2,2,0,5,6,1,4,6,4,2,2,5,9,0,1,6,1,5,14,4,1,5,5,3,2,4,5,3,3,2,1,6,2,2,4,5,16,4,6,9,7,6,3,3,0,1,5,0,1,5,4,2,2,2,3,8,9,2,6,5,4,3,1,3,11,5,1,0,3,4,6,2,3,2,3,9,2,2,3,3,5,4,3,1,3,1,5,6,0,5,5,3,1,0,1,0,0,4,2,3,2,6,1,3,2,3,2,2,12,1,11,0,1,3,2,1,5,1,1,3,2,1,2,7,2,1,1,0,5,1,5,2,4,3,5,4,3,1,15,2,1,5,0,0,2,0,4,5,2,1,6,2,1,2,2,3,1,5,15,2,6,2,3,1,5,2,0,5,1,9,2,3,4,8,5,1,1,6,0,5,4,3,3,3,6,6,4,1,3,4,0,2,6,9,4,5,4,1,2,2,0,9,2,6,3,2,3,0,0,1,5,1,1,8,2,1,5,3,1,4,2,8,9,6,1,9,2,0,9,7,2,7,0,4,3,7,3,0,4,14,0,3,2,6,0,16,0,2,0,8,5,4,4,1,9,2,3,2,3,4,0,2,1,5,1,14,2,2,3,1,2,2,3,13,9,3,7,8,10,6,6,1,1,7,3,3,6,6,2,1,2,3,0,1,2,1,4,11,6,1,0,6,9,4,3,3,1,1,4,1,8,3,0,2,3,2,2,1,4,1,1,3,11,4,1,16,2,4,8,1,3,2,1,4,3,5,3,3,2,4,4,0,2,1,5,8,3,1,1,0,5,3,4,2,6,0,3,1,2,3,5,1,1,1,3,3,5,1,4,3,1,8,9,3,5,0,5,2,2,11,1,2,3,2,3,3,4,1,4,8,9,8,8,3,0,0,0,2,3,5,5,2,1,1,3,2,0,1,0,2,4,2,10,1,11,2,1,2,7,5,4,3,5,1,4,9,1,3,5,2,7,10,5,7,2,4,5,6,3,2,4,1,0,1,10,3,1
"91",2,7,3,4,3,2,4,5,7,1,6,5,4,4,2,0,20,3,2,3,1,0,0,0,13,1,8,2,1,0,10,5,1,1,1,1,4,7,2,3,2,3,1,3,3,4,2,6,7,0,1,12,3,3,1,3,7,2,2,17,5,4,8,8,5,5,5,2,1,2,6,13,7,0,2,6,0,0,4,2,7,6,4,1,11,2,1,5,6,14,6,3,10,8,3,2,3,1,1,4,1,5,7,5,0,1,5,5,4,1,11,4,1,4,2,2,3,22,6,0,1,1,11,9,3,2,1,2,11,1,1,4,13,7,4,2,1,3,1,4,5,2,6,7,9,2,1,3,1,2,1,1,7,2,10,4,4,2,1,3,3,2,4,13,6,3,4,0,4,6,3,2,1,5,0,2,5,0,5,2,0,6,1,7,2,5,3,1,2,2,1,15,1,0,3,4,3,1,1,2,9,4,1,9,1,5,3,2,6,4,2,13,7,2,0,2,2,7,1,1,2,0,10,3,8,4,2,8,4,2,8,2,3,3,2,6,4,3,4,2,0,0,4,6,1,3,10,4,3,4,6,3,3,3,6,1,5,3,3,3,2,2,1,3,0,1,14,1,3,2,4,1,8,1,6,5,11,2,15,3,2,9,8,1,7,1,3,2,3,0,2,8,9,4,4,2,6,5,9,1,3,3,2,3,4,6,5,9,5,0,3,12,1,1,5,5,1,1,6,0,1,3,6,1,1,3,11,2,0,2,11,1,5,2,0,1,4,3,0,6,5,6,7,3,3,1,4,2,4,9,9,7,4,3,3,10,2,3,3,3,1,9,2,7,5,2,6,1,1,2,3,0,5,2,5,5,6,1,15,4,6,9,0,4,2,1,6,5,4,2,0,1,5,2,3,4,1,7,5,0,4,2,3,5,3,5,0,11,1,4,0,3,3,2,0,5,0,2,2,4,8,1,2,4,1,13,5,9,0,3,2,3,14,4,6,6,3,7,4,3,0,6,3,9,16,5,6,2,1,5,2,3,5,7,4,2,1,6,2,1,3,0,4,2,2,3,1,22,5,3,1,5,2,2,3,1,0,6,14,2,0,10,2,3,10,11,6,4,6,6,9,2,3,2,2,2,0,9,5,2
"92",3,2,3,12,4,25,24,1,24,1,5,1,6,23,6,1,59,3,2,3,1,1,14,2,38,2,12,3,0,3,13,4,0,5,1,2,11,29,9,10,4,1,1,1,1,2,18,24,32,0,3,16,2,1,0,5,6,4,1,31,19,31,32,11,2,3,3,1,7,1,17,42,28,0,4,24,4,2,19,1,3,21,5,0,41,3,2,24,45,59,12,15,40,28,1,4,1,4,1,0,0,4,8,2,3,0,1,1,8,14,20,2,16,12,3,7,24,85,18,4,3,4,23,34,4,1,14,2,21,1,4,5,40,2,4,5,2,2,2,0,9,6,24,13,3,0,1,2,1,2,4,1,18,4,42,2,9,9,2,5,3,32,3,51,2,0,2,4,6,1,12,0,1,2,1,1,20,4,2,2,2,10,1,15,5,33,1,1,4,3,3,54,3,1,11,10,4,1,1,1,15,1,2,54,4,12,3,1,24,3,3,47,13,1,5,10,1,48,3,0,2,7,33,2,6,3,9,28,11,2,44,2,3,2,3,11,28,3,20,3,2,6,27,3,1,3,46,6,10,2,2,8,3,14,38,0,32,1,1,4,2,1,4,19,6,2,29,2,7,3,17,2,28,3,26,39,9,2,69,1,0,7,29,5,5,2,9,2,1,3,1,3,45,0,3,7,2,4,54,0,2,1,6,1,4,10,7,36,5,2,3,38,5,0,2,3,3,2,31,0,3,6,6,1,1,3,41,2,3,10,48,6,10,7,2,1,2,1,1,25,2,18,24,4,3,1,9,3,2,6,44,5,1,1,1,26,5,12,0,2,2,7,1,53,5,4,4,5,5,0,2,10,1,3,3,45,28,2,62,11,3,41,1,3,3,7,6,4,8,2,5,2,4,1,3,9,3,8,2,1,0,1,3,4,4,1,4,21,0,7,1,4,2,3,6,2,2,24,3,4,7,2,4,6,5,55,1,31,2,1,1,0,57,23,2,3,4,5,4,11,3,4,16,30,29,17,5,2,1,1,4,0,23,28,6,0,1,3,0,3,4,2,0,0,3,13,1,55,0,1,1,10,3,5,2,1,2,9,50,2,1,24,1,4,69,34,50,13,2,10,27,2,8,7,1,2,0,44,7,3
"93",1,2,1,7,2,9,7,2,4,2,4,4,1,7,4,3,18,3,2,4,1,2,1,5,14,0,3,1,1,0,7,5,0,4,1,0,3,7,1,1,2,1,1,6,2,4,10,3,3,2,3,5,3,4,3,3,5,3,1,3,2,12,6,3,3,6,2,1,3,2,5,14,5,1,7,7,8,4,5,5,4,9,3,2,14,0,1,5,12,16,9,4,19,8,5,5,3,5,2,5,3,6,6,5,6,4,4,8,6,14,10,5,5,6,0,4,3,24,9,2,3,3,7,4,1,4,6,3,10,2,2,6,5,6,2,4,4,2,2,0,2,3,11,2,5,1,0,1,2,1,1,0,7,5,7,1,4,6,1,2,3,4,0,11,3,0,5,0,8,6,1,0,1,7,2,2,5,1,2,4,4,5,3,6,2,6,2,2,0,3,2,17,3,5,2,7,2,5,3,4,5,2,6,7,2,5,0,4,6,4,6,15,7,3,4,5,3,6,2,2,0,4,7,3,0,5,2,9,4,2,8,0,4,3,0,10,2,3,8,2,2,7,6,3,0,6,8,3,4,4,4,2,3,3,10,1,12,2,2,5,0,0,2,4,3,2,6,2,5,3,1,0,8,3,8,11,6,0,14,1,3,6,9,1,3,3,8,5,7,3,0,1,8,1,3,1,1,3,14,1,2,3,2,4,1,5,5,6,5,1,0,12,2,3,4,4,6,1,4,4,3,2,4,4,1,5,9,3,1,3,8,1,4,7,1,0,5,0,2,6,2,4,1,1,2,4,1,2,7,3,10,2,2,4,2,11,7,1,2,3,2,5,3,12,1,0,3,2,3,1,3,4,2,0,0,5,6,3,17,3,4,8,1,1,0,6,6,2,4,1,3,7,2,2,2,7,4,5,8,1,0,2,4,5,4,1,5,9,1,2,0,3,0,6,5,0,3,3,1,1,7,2,3,3,3,10,3,7,2,7,2,4,16,5,4,6,3,4,4,2,2,2,3,5,13,5,7,4,0,1,1,4,5,6,8,2,1,3,0,0,1,2,3,1,6,6,2,17,2,1,3,3,3,1,1,0,0,5,16,1,0,0,2,9,8,11,9,2,5,11,7,5,2,0,0,1,2,7,3,5
"94",2,3,3,1,4,3,1,2,3,3,2,2,3,6,3,0,16,7,3,4,2,4,1,3,10,0,6,3,3,2,4,3,0,6,1,2,1,5,0,2,5,5,0,4,2,5,5,3,4,0,1,5,1,1,0,5,3,4,1,6,3,5,2,7,3,3,1,0,7,0,1,6,7,0,3,1,5,6,5,1,6,6,3,2,7,2,7,6,5,11,5,2,10,4,3,2,3,2,5,4,0,7,3,4,3,3,3,10,8,2,7,3,7,9,6,7,3,22,3,2,0,5,3,3,1,0,4,2,5,0,2,5,2,2,5,1,2,2,2,2,4,5,7,5,3,1,0,1,2,4,4,2,3,2,5,5,2,3,3,4,1,4,1,7,3,1,2,2,3,3,4,0,1,7,2,2,2,3,3,1,0,5,2,3,4,5,2,4,1,4,5,9,1,1,4,2,4,3,0,3,2,3,1,4,1,3,3,2,6,2,6,13,2,3,6,0,4,2,0,1,0,3,7,3,1,3,4,4,3,4,8,0,3,3,1,8,2,4,4,5,1,3,5,3,1,4,6,6,1,4,7,1,1,4,8,0,5,0,1,1,3,1,2,1,2,1,13,1,2,3,2,2,5,2,1,9,6,1,13,4,2,3,4,6,3,1,3,3,0,2,1,5,9,0,4,1,5,2,8,2,3,2,8,3,1,4,6,9,3,1,2,6,3,0,2,4,2,0,6,2,3,2,4,3,1,4,6,1,2,4,4,9,8,9,3,1,6,1,1,5,5,1,4,2,2,0,2,0,3,8,6,4,2,2,2,5,3,3,4,3,1,5,3,5,1,0,5,1,3,2,4,4,0,2,0,6,8,4,10,4,4,14,1,2,2,2,8,2,8,1,4,4,2,0,0,3,3,2,6,0,2,3,0,7,2,5,0,4,2,4,1,3,3,1,3,3,2,4,1,2,3,2,0,5,3,13,4,9,1,1,2,2,10,3,5,1,4,2,2,3,1,6,5,7,6,6,7,3,2,1,4,1,5,4,1,2,0,1,1,1,2,5,2,2,5,1,1,15,1,1,3,7,3,1,7,0,0,5,12,1,2,7,2,6,8,12,7,0,4,5,6,6,3,1,0,1,4,6,5,2
